id,guid,question,cevap,explanation,difficulty,category,subcategory
13,550e8400-e29b-41d4-a716-446655440012,"""Türk Kurtuluş Savaşı, 1919-1922 yılları arasında yapılmıştır.""",TRUE,"Türk Kurtuluş Savaşı, Mustafa Kemal Atatürk liderliğinde Türk milletinin bağımsızlık mücadelesidir.",Kolay,Tarih,Türkiye tarihi
14,550e8400-e29b-41d4-a716-446655440013,"""Moğollar, 1206 yılında Cengiz Han'ın liderliğinde birleşmiştir.""",TRUE,"Cengiz Han, 1206 yılında Moğol İmparatorluğu'nu kurarak büyük bir imparatorluk kurmuştur.",Kolay,Tarih,Dünya tarihi
15,550e8400-e29b-41d4-a716-446655440014,"""Osmanlı İmparatorluğu, 1453 yılında İstanbul'u fethetmiştir.""",TRUE,"İstanbul'un fethi, 1453 yılında Osmanlı İmparatorluğu'nun Bizans İmparatorluğu'nu fethetmesiyle gerçekleşmiştir.",Kolay,Tarih,Türkiye tarihi
16,550e8400-e29b-41d4-a716-446655440015,"""Mevlana Celaleddin Rumi, 13. yüzyılda yaşamıştır.""",TRUE,"Mevlana Celaleddin Rumi, 1207-1273 yılları arasında yaşamış büyük bir İslam alimi ve şairidir.",Kolay,Tarih,Türkiye tarihi
17,550e8400-e29b-41d4-a716-446655440016,"""I. Dünya Savaşı'ndan sonra, 1919 yılında Versay Antlaşması imzalanmıştır.""",TRUE,"Versay Antlaşması, I. Dünya Savaşı'nın sona ermesinin ardından Almanya ile müttefikleri arasında imzalanmıştır.",Kolay,Tarih,Dünya tarihi
18,550e8400-e29b-41d4-a716-446655440017,"""İlk olimpiyat oyunları MÖ 776 yılında Yunanistan'da yapılmıştır.""",TRUE,"İlk Olimpiyat Oyunları, MÖ 776'da Yunanistan'da yapılmış ve sporun tarihi başlangıcını simgeler.",Kolay,Tarih,Antik
19,550e8400-e29b-41d4-a716-446655440018,"""İlk Türk devletini, 6. yüzyılda Göktürkler kurmuştur.""",TRUE,"Göktürkler, Orta Asya'da 6. yüzyılda ilk Türk devletini kurmuşlardır.",Kolay,Tarih,Türkiye tarihi
20,550e8400-e29b-41d4-a716-446655440019,"""Hindistan, 1947 yılında İngiltere'den bağımsızlık kazanmıştır.""",TRUE,"Hindistan, 1947'de İngiltere'den bağımsızlık kazanmış ve bağımsız bir devlet olmuştur.",Kolay,Tarih,Dünya tarihi
21,550e8400-e29b-41d4-a716-446655440020,"""Cengiz Han, dünya tarihinin en büyük imparatorlarından biridir.""",TRUE,"Cengiz Han, Moğol İmparatorluğu'nu kurarak tarihteki en geniş kara imparatorluklarından birini oluşturmuştur.",Kolay,Tarih,Dünya tarihi
22,550e8400-e29b-41d4-a716-446655440021,"""Fransa, 843 yılında Verdun Antlaşması ile üçe bölünmüştür.""",TRUE,"Verdun Antlaşması, Frank Krallığı'nın 843'te üçe bölünmesiyle sonuçlanmıştır.",Kolay,Tarih,Dünya tarihi
23,550e8400-e29b-41d4-a716-446655440022,"""Napolyon Bonapart, 1769 yılında Korsika adasında doğmuştur.""",TRUE,"Napolyon Bonapart, 1769 yılında Korsika adasında doğmuş ve Fransız İmparatorluğu'nun lideri olmuştur.",Kolay,Tarih,Dünya tarihi
24,550e8400-e29b-41d4-a716-446655440023,"""Yunanistan, 1821'de Osmanlı İmparatorluğu'na karşı bağımsızlık savaşına başlamıştır.""",TRUE,"Yunanistan, 1821'de Osmanlı İmparatorluğu'na karşı başlattığı isyanla bağımsızlık mücadelesi vermiştir.",Kolay,Tarih,Dünya tarihi
25,550e8400-e29b-41d4-a716-446655440024,"""Moskova, Rus İmparatorluğu'nun başkenti olmuştur.""",TRUE,"Moskova, 16. yüzyıldan itibaren Rus İmparatorluğu'nun başkenti olmuştur.",Kolay,Tarih,Dünya tarihi
26,550e8400-e29b-41d4-a716-446655440025,"""Büyük Selçuklu Devleti, 1037 yılında Alparslan tarafından kurulmuştur.""",TRUE,"Büyük Selçuklu Devleti, Alparslan'ın 1037'deki fetihleriyle Orta Asya'da kuruldu.",Normal,Tarih,Türkiye tarihi
27,550e8400-e29b-41d4-a716-446655440026,"""Alman İmparatorluğu 1871 yılında Prusya Krallığı'nın liderliğinde birleşmiştir.""",TRUE,"Alman İmparatorluğu, 1871'de Prusya Krallığı'nın öncülüğünde Almanya'nın birleşmesiyle kuruldu.",Normal,Tarih,Dünya tarihi
28,550e8400-e29b-41d4-a716-446655440027,"""Mısır Medeniyeti, Nil Nehri etrafında gelişmiştir.""",TRUE,"Mısır Medeniyeti, Nil Nehri çevresindeki verimli topraklarda tarım yapılarak gelişmiştir.",Normal,Tarih,Antik
29,550e8400-e29b-41d4-a716-446655440028,"""İslamiyet, 7. yüzyılda Arap Yarımadası'nda doğmuştur.""",TRUE,"İslamiyet, 7. yüzyılda Hz. Muhammed'in peygamberliğini ilan etmesiyle Arap Yarımadası'nda doğmuştur.",Normal,Tarih,Dünya tarihi
30,550e8400-e29b-41d4-a716-446655440029,"""Kurtuluş Savaşı'nda Türklerin kazandığı ilk zafer, 30 Ağustos 1922'de Dumlupınar'da olmuştur.""",TRUE,"30 Ağustos 1922'deki Dumlupınar Meydan Muharebesi, Kurtuluş Savaşı'nın ilk büyük zaferidir.",Normal,Tarih,Türkiye tarihi
31,550e8400-e29b-41d4-a716-446655440030,"""İspanyol Krallığı, 1492'de Kristof Kolomb'un Amerika'ya ulaşmasıyla genişlemeye başlamıştır.""",TRUE,"1492'de Kristof Kolomb'un Amerika'ya ulaşması, İspanyol Krallığı'nın denizaşırı topraklarda genişlemesini sağlamıştır.",Normal,Tarih,Dünya tarihi
32,550e8400-e29b-41d4-a716-446655440031,"""Fransa'da Louis XIV, 1643-1715 yılları arasında saltanat sürmüştür.""",TRUE,"Louis XIV, 1643-1715 yılları arasında Fransa'nın mutlak monarşi yönetimini sürdürmüştür.",Normal,Tarih,Dünya tarihi
33,550e8400-e29b-41d4-a716-446655440032,"""İngiltere, 1066 yılında Normandiya Dükalığı'nın lideri William tarafından fethedilmiştir.""",TRUE,"1066'daki Hastings Savaşı ile William, İngiltere'yi fethederek tahta çıkmıştır.",Normal,Tarih,Dünya tarihi
34,550e8400-e29b-41d4-a716-446655440033,"""İtalya, 1861 yılında Sardunya Krallığı'nın liderliğinde birleşmiştir.""",TRUE,"1861'de Sardunya Krallığı, İtalya'daki diğer devletlerle birleşerek İtalya Krallığı'nı kurmuştur.",Normal,Tarih,Dünya tarihi
35,550e8400-e29b-41d4-a716-446655440034,"""Avusturya-Macaristan İmparatorluğu, 1867'de kurulan Ausgleich Antlaşması ile ikiye ayrılmıştır.""",TRUE,"1867'deki Ausgleich Antlaşması, Avusturya-Macaristan İmparatorluğu'nun iki ayrı devlet olarak faaliyet göstermesine yol açmıştır.",Normal,Tarih,Dünya tarihi
36,550e8400-e29b-41d4-a716-446655440035,"""Flandre, 14. yüzyılda Batı Avrupa'nın ekonomik merkezi olmuştur.""",TRUE,"Flandre, 14. yüzyılda tekstil endüstrisinin kalbi olarak Batı Avrupa'da ekonomik büyüme sağlamıştır.",Normal,Tarih,Dünya tarihi
37,550e8400-e29b-41d4-a716-446655440036,"""İspanya'da, 1492'de Endülüs Krallığı sona ermiştir.""",TRUE,1492'de Endülüs Krallığı'nın sona ermesiyle İspanya'da tüm Müslümanlar Granada'dan sürülmüştür.,Normal,Tarih,Dünya tarihi
38,550e8400-e29b-41d4-a716-446655440037,"""Japonya, 1603'te Tokugawa Şogunluğu ile feodal bir yapıya bürünmüştür.""",TRUE,"Tokugawa Şogunluğu, 1603 yılında Japonya'da feodal yönetimi kurmuş ve 19. yüzyıla kadar devam etmiştir.",Normal,Tarih,Dünya tarihi
39,550e8400-e29b-41d4-a716-446655440038,"""Rusya İmparatorluğu, 1721'de Peter I (Büyük) tarafından kurulmuştur.""",TRUE,"Peter I (Büyük), 1721'de Rusya'yı imparatorluk olarak ilan etmiştir ve modern Rusya'nın temellerini atmıştır.",Normal,Tarih,Dünya tarihi
40,550e8400-e29b-41d4-a716-446655440039,"""Avusturya'da, 1804'te Habsburg Monarşisi sona ermiştir.""",TRUE,"1804'te, Avusturya İmparatorluğu kurularak Habsburg Monarşisi'nin sonuna gelinmiştir.",Normal,Tarih,Dünya tarihi
41,550e8400-e29b-41d4-a716-446655440040,"""Fransa'da 1789 Fransız Devrimi'nden önceki son monark Louis XVI'dır.""",TRUE,"Louis XVI, Fransız Devrimi sırasında tahtta bulunan son Fransız kralıdır ve devrimle tahttan indirilmiştir.",Normal,Tarih,Dünya tarihi
42,550e8400-e29b-41d4-a716-446655440041,"""Büyük Buhran, 1929 yılında Amerika Birleşik Devletleri'nde başlamıştır.""",TRUE,"1929 yılında, Amerika'da borsa çöküşüyle başlayan büyük ekonomik kriz tüm dünyayı etkilemiştir.",Normal,Tarih,Dünya tarihi
43,550e8400-e29b-41d4-a716-446655440042,"""İngiltere'de Rönesans dönemi, 16. yüzyılda başlamıştır.""",TRUE,"İngiltere'deki Rönesans dönemi, 16. yüzyılda özellikle edebiyat ve sanat alanlarında kendini göstermiştir.",Normal,Tarih,Dünya tarihi
44,550e8400-e29b-41d4-a716-446655440043,"""Fransız Devrimi, 1789'da başlamış ve 1799'da sona ermiştir.""",TRUE,"Fransız Devrimi, 1789'da başlayıp 1799'da Napolyon'un iktidara gelmesiyle sona ermiştir.",Normal,Tarih,Dünya tarihi
45,550e8400-e29b-41d4-a716-446655440044,"""İlk Osmanlı padişahı Osman Gazi, 1299 yılında Osmanlı Devleti'ni kurmuştur.""",TRUE,"Osman Gazi, 1299 yılında Osmanlı Devleti'ni kurarak bu devlete adını vermiştir.",Normal,Tarih,Türkiye tarihi
46,550e8400-e29b-41d4-a716-446655440045,"""Napolyon Bonapart, 1804'te Fransa İmparatoru ilan edilmiştir.""",TRUE,"Napolyon Bonapart, 1804'te kendisini Fransa İmparatoru ilan ederek monarşiyi kurmuştur.",Normal,Tarih,Dünya tarihi
47,550e8400-e29b-41d4-a716-446655440046,"""Roma İmparatorluğu'nun Batı kısmı, 476 yılında çökmüştür.""",TRUE,"Batı Roma İmparatorluğu, 476 yılında son Roma İmparatoru Romulus Augustus'un tahttan indirilmesiyle sona ermiştir.",Normal,Tarih,Dünya tarihi
48,550e8400-e29b-41d4-a716-446655440047,"""Büyük Çin Seddi, MÖ 7. yüzyılda inşa edilmeye başlanmıştır.""",TRUE,"Büyük Çin Seddi'nin yapımına MÖ 7. yüzyılda başlanmış olup, farklı hanedanlar tarafından tamamlanmıştır.",Normal,Tarih,Antik
49,550e8400-e29b-41d4-a716-446655440048,"""Vikingler, 8. yüzyıldan 11. yüzyıla kadar Avrupa'da seferler düzenlemişlerdir.""",TRUE,"Vikingler, 8. yüzyıldan 11. yüzyıla kadar Kuzey Avrupa'dan Avrupa'nın büyük kısmına seferler düzenlemişlerdir.",Normal,Tarih,Orta Çağ
50,550e8400-e29b-41d4-a716-446655440049,"""Moğol İmparatorluğu, 1206'da Cengiz Han tarafından kurulmuştur.""",TRUE,"Moğol İmparatorluğu, 1206 yılında Cengiz Han'ın önderliğinde Orta Asya'da kurulmuştur.",Normal,Tarih,Orta Çağ
51,550e8400-e29b-41d4-a716-446655440050,"""Mısır piramitleri, Eski Mısır Krallığı döneminde inşa edilmiştir.""",TRUE,"Mısır piramitleri, MÖ 2600-2500 yılları arasında, Eski Mısır Krallığı döneminde inşa edilmiştir.",Normal,Tarih,Antik
52,550e8400-e29b-41d4-a716-446655440051,"""İlk dünya savaşı, 1914-1918 yılları arasında gerçekleşmiştir.""",TRUE,"Birinci Dünya Savaşı, 1914'te başlamış ve 1918'de sona ermiştir.",Normal,Tarih,Dünya tarihi
53,550e8400-e29b-41d4-a716-446655440052,"""Viyana Kongresi, 1815'te Napolyon'un ardından Avrupa'da barışı sağlamak için toplanmıştır.""",TRUE,"Viyana Kongresi, Napolyon'un yenilgisinin ardından 1815'te Avrupa'da dengeyi sağlamak amacıyla yapılmıştır.",Normal,Tarih,Dünya tarihi
54,550e8400-e29b-41d4-a716-446655440053,"""Amerikan Bağımsızlık Savaşı, 1775-1783 yılları arasında gerçekleşmiştir.""",TRUE,"Amerikan Bağımsızlık Savaşı, 1775'te başlamış ve 1783'te sona ermiştir.",Normal,Tarih,Dünya tarihi
55,550e8400-e29b-41d4-a716-446655440054,"""İtalya, 1861'de birleşmiş ve ilk Krallık hükümeti Sardunya Krallığı tarafından kurulmuştur.""",TRUE,"1861'de İtalya birleşmiş ve Sardunya Krallığı, birleşik İtalya'nın ilk hükümetini kurmuştur.",Normal,Tarih,Dünya tarihi
56,550e8400-e29b-41d4-a716-446655440055,"""Romalılar, Colosseum'u M.S. 70-80 yılları arasında inşa etmişlerdir.""",TRUE,"Roma İmparatorluğu, Colosseum'u M.S. 70-80 yılları arasında inşa etmiştir.",Zor,Tarih,Antik
57,550e8400-e29b-41d4-a716-446655440056,"""Pers İmparatorluğu'nun ilk hükümdarı Kyros Büyük'tür.""",TRUE,"Pers İmparatorluğu, MÖ 550'de Kyros Büyük tarafından kurulmuştur.",Zor,Tarih,Antik
58,550e8400-e29b-41d4-a716-446655440057,"""Napolyon Bonapart, 1804 yılında Fransız İmparatoru ilan edilmiştir.""",TRUE,"Napolyon, 1804 yılında Fransa'da İmparator olarak taç giymiştir.",Zor,Tarih,Dünya tarihi
59,550e8400-e29b-41d4-a716-446655440058,"""İngilizlerin Magna Carta'yı 1215'te kabul etmeleri, feodalizmi sınırlamıştır.""",TRUE,"Magna Carta, 1215'te kabul edilmiş ve İngiltere'deki feodal düzeni sınırlamıştır.",Zor,Tarih,Orta Çağ
60,550e8400-e29b-41d4-a716-446655440059,"""Aztek İmparatorluğu, 1521'de Hernán Cortés tarafından yıkılmıştır.""",TRUE,"Aztek İmparatorluğu, 1521'de Hernán Cortés tarafından fethedilmiştir.",Zor,Tarih,Antik
61,550e8400-e29b-41d4-a716-446655440060,"""Mendel'in genetik yasaları, 19. yüzyılın ortalarında ortaya çıkmıştır.""",TRUE,"Gregor Mendel'in genetik yasaları, 1860'ların ortasında keşfedilmiştir.",Zor,Tarih,Bilimsel
62,550e8400-e29b-41d4-a716-446655440061,"""Büyük Britanya, 1800'de Birleşik Krallık olarak tek bir devlet haline gelmiştir.""",TRUE,"Büyük Britanya, 1800'de Birleşik Krallık olarak birleşmiş ve tek bir devlet haline gelmiştir.",Zor,Tarih,Dünya tarihi
63,550e8400-e29b-41d4-a716-446655440062,"""Fransız Devrimi, 1789'da başlamış ve 1799'da Napolyon'un iktidara gelmesiyle sona ermiştir.""",TRUE,"Fransız Devrimi, 1789'da başlamış ve 1799'da Napolyon'un iktidara gelmesiyle son bulmuştur.",Zor,Tarih,Dünya tarihi
64,550e8400-e29b-41d4-a716-446655440063,"""İlk defa 1776'da bağımsızlık ilan eden Amerika Birleşik Devletleri, 1783'te İngiltere ile Paris Antlaşması'nı imzalayarak bağımsızlığını onaylamıştır.""",TRUE,"1776'da Amerika Bağımsızlık Bildirgesi ile bağımsızlık ilan edilmiş, 1783'te Paris Antlaşması ile bağımsızlık onaylanmıştır.",Zor,Tarih,Dünya tarihi
65,550e8400-e29b-41d4-a716-446655440064,"""Hindistan'ın bağımsızlık mücadelesinde Mahatma Gandhi'nin 1930'daki Tuz Yürüyüşü önemli bir dönemeçtir.""",TRUE,"Gandhi'nin Tuz Yürüyüşü, Hindistan'ın bağımsızlık mücadelesinde kritik bir anıdır, 1930'da başlamıştır.",Zor,Tarih,Dünya tarihi
66,550e8400-e29b-41d4-a716-446655440065,"""Osmanlı İmparatorluğu, 1453'te İstanbul'u fethederek Bizans İmparatorluğu'na son vermiştir.""",TRUE,"İstanbul'un fethi, 1453'te Osmanlı İmparatorluğu'nun Bizans İmparatorluğu'na son vermesini sağlamıştır.",Zor,Tarih,Türkiye tarihi
67,550e8400-e29b-41d4-a716-446655440066,"""Büyük Britanya'daki Endüstri Devrimi, 18. yüzyılın sonlarında başlamıştır.""",TRUE,"Endüstri Devrimi, 18. yüzyılın sonlarında, özellikle 1760'lardan sonra İngiltere'de başlamıştır.",Zor,Tarih,Dünya tarihi
68,550e8400-e29b-41d4-a716-446655440067,"""Roma İmparatorluğu'nun yıkılma tarihi 476 yılıdır.""",TRUE,"Roma İmparatorluğu, 476'da Batı Roma İmparatorluğu'nun sona ermesiyle yıkılmıştır.",Zor,Tarih,Antik
69,550e8400-e29b-41d4-a716-446655440068,"""İkinci Dünya Savaşı'nın en büyük askeri çatışması Stalingrad Savaşı'dır.""",TRUE,"Stalingrad Savaşı, 1942-1943 yıllarında yaşanan ve İkinci Dünya Savaşı'nın en kanlı çatışmalarından biridir.",Zor,Tarih,Dünya tarihi
70,550e8400-e29b-41d4-a716-446655440069,"""Tarihteki ilk yazılı kanunlar, Hammurabi Kanunları olarak bilinir.""",TRUE,"Hammurabi Kanunları, MÖ 18. yüzyılda Babil Kralı Hammurabi tarafından yazılı hale getirilmiştir.",Zor,Tarih,Antik
71,550e8400-e29b-41d4-a716-446655440070,"""Büyük Selçuklu Devleti'nin kurucusu, Selçuk Bey'dir.""",TRUE,"Selçuk Bey, Büyük Selçuklu Devleti'nin kurucusudur ve 11. yüzyılda bu devleti kurmuştur.",Zor,Tarih,Türkiye tarihi
72,550e8400-e29b-41d4-a716-446655440071,"""Osmanlı'da en uzun süre hüküm süren padişah, 46 yıl boyunca tahtta kalan Kanuni Sultan Süleyman'dır.""",TRUE,"Kanuni Sultan Süleyman, Osmanlı tahtında 46 yıl boyunca hüküm sürmüş ve en uzun süre tahtta kalan padişahtır.",Zor,Tarih,Türkiye tarihi
73,550e8400-e29b-41d4-a716-446655440072,"""I. Justinianus, Bizans İmparatorluğu'nda önemli yasal reformları başlatmıştır.""",TRUE,"I. Justinianus, Bizans İmparatorluğu'nda özellikle Corpus Juris Civilis adı verilen yasal reformları başlatmıştır.",Zor,Tarih,Antik
74,550e8400-e29b-41d4-a716-446655440073,"""Meydan Muharebesi, 1877 yılında Rusya ve Osmanlı İmparatorluğu arasında gerçekleşmiştir.""",TRUE,"Meydan Muharebesi, 1877'de Rusya ile Osmanlı İmparatorluğu arasında yapılan ve Osmanlı'nın mağlubiyetiyle sonuçlanan bir savaştır.",Zor,Tarih,Dünya tarihi
75,550e8400-e29b-41d4-a716-446655440074,"""Berlin Duvarı, 1989 yılında yıkılmıştır.""",TRUE,"Berlin Duvarı, Soğuk Savaş döneminde, 1989 yılında yıkılmıştır ve Almanya'nın birleşmesine zemin hazırlamıştır.",Zor,Tarih,Dünya tarihi
76,550e8400-e29b-41d4-a716-446655440075,"""Büyük İskender'in İmparatorluğu, Batı Asya, Afrika ve Hindistan'ı kapsayan büyük bir alana yayılmıştır.""",TRUE,"Büyük İskender, 4. yüzyılda Batı Asya, Afrika ve Hindistan'ı kapsayan geniş bir imparatorluk kurmuştur.",Zor,Tarih,Antik
77,550e8400-e29b-41d4-a716-446655440076,"""İngiltere'nin Magna Carta'yı kabul etmesi, monarşi gücünü kısıtlamış ve halk haklarını güvence altına almıştır.""",TRUE,"Magna Carta, 1215'te kabul edilmiş, monarşi gücünü kısıtlamış ve halk haklarını güvence altına almıştır.",Zor,Tarih,Orta Çağ
78,550e8400-e29b-41d4-a716-446655440077,"""Renaissance dönemi, 14. yüzyıldan 17. yüzyıla kadar Avrupa'da kültürel bir uyanışa yol açmıştır.""",TRUE,"Renaissance, Avrupa'da 14. yüzyıldan 17. yüzyıla kadar süren bir kültürel, sanatsal ve bilimsel uyanıştır.",Zor,Tarih,Orta Çağ
79,550e8400-e29b-41d4-a716-446655440078,"""Fransız Devrimi'nin en önemli sembollerinden biri, Bastille Hapishanesi'nin 14 Temmuz 1789'da fethedilmesidir.""",TRUE,"Bastille Hapishanesi'nin fethi, Fransız Devrimi'nin önemli bir dönüm noktasıdır ve devrimin sembollerindendir.",Zor,Tarih,Dünya tarihi
80,550e8400-e29b-41d4-a716-446655440079,"""Almanya'nın birleşmesi, 1990 yılında Doğu ve Batı Almanya'nın birleşmesiyle gerçekleşmiştir.""",TRUE,"1990'da Almanya, Doğu ve Batı Almanya'nın birleşmesiyle yeniden birleşmiştir.",Zor,Tarih,Dünya tarihi
81,550e8400-e29b-41d4-a716-446655440080,"""Machu Picchu, İnka İmparatorluğu tarafından 15. yüzyılda inşa edilmiştir.""",TRUE,"Machu Picchu, 15. yüzyılda İnka İmparatorluğu tarafından inşa edilmiştir ve bugüne kadar korunmuştur.",Zor,Tarih,Antik
82,550e8400-e29b-41d4-a716-446655440081,"""Alhambra Sarayı, Endülüs Emevi Devleti'nin başkenti olan Granada'da yer almaktadır.""",TRUE,"Alhambra Sarayı, 13. yüzyılda Endülüs Emevi Devleti tarafından Granada'da inşa edilmiştir.",Zor,Tarih,Orta Çağ
83,550e8400-e29b-41d4-a716-446655440082,"""Büyük Britanya'da 1707'de Birleşik Krallık'ın kuruluşu, İngiltere ve İskoçya'nın birleşmesiyle gerçekleşmiştir.""",TRUE,1707'de İngiltere ve İskoçya birleşerek Büyük Britanya Krallığı'nı oluşturmuşlardır.,Zor,Tarih,Dünya tarihi
84,550e8400-e29b-41d4-a716-446655440083,"""Rusya'da 1917'deki Ekim Devrimi, Çar II. Nikolay'ın tahttan feragat etmesine yol açmıştır.""",TRUE,"1917'deki Ekim Devrimi, Rusya'da Çar II. Nikolay'ın tahttan feragat etmesine ve Bolşeviklerin iktidara gelmesine neden olmuştur.",Zor,Tarih,Dünya tarihi
85,550e8400-e29b-41d4-a716-446655440084,"""İlk Endüstri Devrimi'nin başladığı yer İngiltere'dir.""",TRUE,"Endüstri Devrimi, 18. yüzyılın sonlarında İngiltere'de başlamış ve küresel ölçekte değişim yaratmıştır.",Zor,Tarih,Dünya tarihi
86,550e8400-e29b-41d4-a716-446655440085,"""Antik Roma'da Julius Caesar, MÖ 44'te öldürülmeden önce diktatörlük yapıyordu.""",TRUE,"Julius Caesar, MÖ 44'te öldürülmeden önce Roma'da mutlak diktatörlük yapıyordu.",Çok zor,Tarih,Roma İmparatorluğu
87,550e8400-e29b-41d4-a716-446655440086,"""Mısır'daki Eski Krallık dönemi, MÖ 2686 ile MÖ 2181 yılları arasında yaşanmıştır.""",TRUE,"Eski Krallık dönemi, MÖ 2686 ile MÖ 2181 yılları arasında Mısır'da hüküm sürmüştür.",Çok zor,Tarih,Antik
88,550e8400-e29b-41d4-a716-446655440087,"""Mongol İmparatorluğu'nun kurucusu Cengiz Han, 13. yüzyılda Orta Asya'da geniş bir imparatorluk kurmuştur.""",TRUE,"Cengiz Han, 13. yüzyılda Orta Asya'dan başlayarak, dünyanın en büyük kara imparatorluğunu kurmuştur.",Çok zor,Tarih,Dünya tarihi
89,550e8400-e29b-41d4-a716-446655440088,"""Mısırlı firavun Tutankamon'un mezarı, 1922 yılında Howard Carter tarafından bulunmuştur.""",TRUE,"Tutankamon'un mezarı, 1922'de arkeolog Howard Carter tarafından keşfedilmiştir.",Çok zor,Tarih,Antik
90,550e8400-e29b-41d4-a716-446655440089,"""Rönesans dönemi, İtalya'da 14. yüzyılın sonlarından itibaren başlamıştır.""",TRUE,"Rönesans dönemi, 14. yüzyılın sonlarına doğru İtalya'da başlayarak Avrupa'da genişlemiştir.",Çok zor,Tarih,Orta Çağ
91,550e8400-e29b-41d4-a716-446655440090,"""Napolyon Bonapart, 1804 yılında Fransa İmparatoru olarak taç giymiştir.""",TRUE,"Napolyon Bonapart, 1804'te Fransa İmparatoru olarak taç giymiş ve Avrupa'nın büyük kısmını fethetmiştir.",Çok zor,Tarih,Dünya tarihi
92,550e8400-e29b-41d4-a716-446655440091,"""Yunan filozoflarından Aristoteles, MÖ 384 ile MÖ 322 yılları arasında yaşamıştır.""",TRUE,"Aristoteles, MÖ 384 ile MÖ 322 yılları arasında yaşamış ve Batı felsefesinin temel taşlarını atmıştır.",Çok zor,Tarih,Antik
93,550e8400-e29b-41d4-a716-446655440092,"""Batı Roma İmparatorluğu'nun sona erdiği tarih, 476'dır.""",TRUE,"Batı Roma İmparatorluğu, 476 yılında son bulmuş ve imparatorluk toprakları farklı barbar halklar arasında paylaşılmıştır.",Çok zor,Tarih,Roma İmparatorluğu
94,550e8400-e29b-41d4-a716-446655440093,"""İlk yazılı anlaşmalardan biri olan Kudüs Anlaşması, MÖ 1274 yılında imzalanmıştır.""",TRUE,"MÖ 1274'te, Mısır firavunu Ramses II ile Hitit kralı Muwatalli arasında Kudüs Anlaşması imzalanmıştır.",Çok zor,Tarih,Antik
